SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	September 24, 2018	September 21, 2018	September 20, 2018	September 19, 2018	September 18, 2018
Chinese yuan		0.1040340000	0.1039200000	0.1040660000	0.1039790000
Euro	0.8383530000	0.8368490000	0.8381950000	0.8320390000	0.8347280000
Japanese yen		0.0063147000	0.0063403000	0.0063476300	0.0063830600
U.K. pound	0.9349850000	0.9386180000	0.9424270000	0.9402250000	0.9376330000
U.S. dollar	0.7120980000	0.7116670000	0.7122060000	0.7131560000	0.7136260000
Algerian dinar		0.0060555300	0.0060443200	0.0060431600	0.0060558300
Australian dollar		0.5192320000	0.5170620000	0.5168950000	0.5143100000
Bahrain dinar	1.8938800000	1.8927300000	1.8941600000	1.8966900000	1.8979400000
Botswana pula		0.0668967000	0.0668761000	0.0663948000	0.0660104000
Brazilian real		0.1747620000	0.1737470000	0.1724890000	0.1725280000
Brunei dollar		0.5218270000	0.5202380000	0.5204000000	0.5203630000
Canadian dollar		0.5509960000	0.5518840000	0.5508270000	0.5492810000
Chilean peso		0.0010562900	0.0010399300		
Colombian peso		0.0002361060	0.0002359370	0.0002371630	0.0002368190
Czech koruna		0.0327113000	0.0328054000	0.0327196000	0.0327938000
Danish krone		0.1121830000	0.1123710000	0.1115390000	0.1118900000
Hungarian forint		0.0025949600	0.0025726300	0.0025809100	0.0025679200
Icelandic krona		0.0064726400	0.0064377300	0.0064950500	0.0065428300
Indian rupee		0.0099050500		0.0098125300	0.0098594900
Indonesian rupiah		0.0000480078	0.0000479956	0.0000478757	0.0000478687
Iranian rial					0.0000169911
Israeli New Shekel		0.1991790000	0.1987740000		
Kazakhstani tenge		0.0020186800	0.0019838600	0.0019703700	0.0019320600
Korean won		0.0006354740	0.0006341990	0.0006331850	0.0006336580
Kuwaiti dinar		2.3514500000	2.3532300000	2.3563700000	2.3587000000
Libyan dinar	0.5174910000	0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian ringgit		0.1722750000	0.1721340000	0.1720940000	0.1721240000
Mauritian rupee		0.0208123000	0.0207925000	0.0207974000	0.0207926000
Mexican peso		0.0377464000	0.0378237000	0.0380001000	0.0380207000
Nepalese rupee		0.0061456600	0.0061503100		0.0061508900
New Zealand dollar		0.4756070000	0.4734030000	0.4688290000	0.4692090000
Norwegian krone		0.0873597000	0.0874162000	0.0871520000	0.0874306000
Omani rial	1.8520100000	1.8508900000	1.8522900000	1.8547600000	1.8559800000
Pakistani rupee				0.0057403200	0.0057433700
Peruvian sol			0.2159510000	0.2160420000	0.2159880000
Philippine peso		0.0131751000	0.0131744000	0.0131817000	0.0131648000
Polish zloty		0.1955020000	0.1940510000	0.1944000000	0.1938310000
Qatari riyal	0.1956310000	0.1955130000	0.1956610000	0.1959220000	0.1960510000
Russian ruble		0.0107422000	0.0107143000	0.0106426000	0.0105329000
Saudi Arabian riyal	0.1898930000	0.1897780000	0.1899220000	0.1901750000	0.1903000000
Singapore dollar		0.5218270000	0.5202380000	0.5204000000	0.5203630000
South African rand		0.0495906000	0.0493590000	0.0487205000	0.0478679000
Sri Lankan rupee		0.0042353200	0.0042783800	0.0043056500	0.0043406300
Swedish krona		0.0811636000	0.0804126000	0.0803819000	0.0802070000
Swiss franc		0.7438770000	0.7379990000	0.7364650000	0.7418920000
Thai baht		0.0219705000	0.0220048000	0.0219203000	0.0218910000
Trinidadian dollar		0.1054990000		0.1056400000	0.1064800000
Tunisian dinar		0.2570960000	0.2562110000	0.2573640000	0.2576230000
U.A.E. dirham	0.1939000000	0.1937830000	0.1939290000	0.1941880000	0.1943160000
Uruguayan peso			0.0216588000	0.0215442000	0.0215447000
Bolivar Fuerte					

Currency units per SDR(3)

Currency	September 24, 2018	September 21, 2018	September 20, 2018	September 19, 2018	September 18, 2018
Chinese yuan		9.612240	9.622790	9.609290	9.617330
Euro	1.192810	1.194960	1.193040	1.201870	1.198000
Japanese yen		158.361000	157.721000	157.539000	156.665000
U.K. pound	1.069540	1.065400	1.061090	1.063580	1.066520
U.S. dollar	1.404300	1.405150	1.404090	1.402220	1.401290
Algerian dinar		165.138000	165.445000	165.476000	165.130000
Australian dollar		1.925920	1.934000	1.934630	1.944350
